gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SAMD11,102.5117564303946,-0.3493108136421376,0.8656883612930311,-0.40350642247331503,0.6865757109794577,0.9024901915856249
NOC2L,377.25373889772254,0.01965101756578498,0.12691796514785245,0.1548324348163999,0.876953420257824,0.9693185671875323
KLHL17,126.25857834812311,0.4866578754037383,0.38797332240724813,1.2543591203234918,0.20971150416318618,0.5839464827910908
HES4,262.0058786133119,-1.317474383976723,0.5265618351013058,-2.5020316630491317,0.012348288070595787,0.2100525732577532
ISG15,124.18500309138108,-0.8489854167568348,0.5229092678091302,-1.623580741481001,0.10446531841041275,0.4477040526621779
AGRN,34.78134743931936,-0.3798349931560815,0.2322372882052396,-1.6355469704778953,0.10193443661940774,0.4437455144162634
C1orf159,1047.4437489438321,0.10735892091283704,0.245349724066931,0.4375750627848666,0.6616943516048212,0.892265032966133
TTLL10,7.880903562753362,-0.38164625064965185,0.4605524902371418,-0.8286704745709647,0.40729089734440105,0.7566988419945472
SDF4,635.9508694139279,-0.0350478045402995,0.16138461306016352,-0.21716943068936706,0.8280763069484995,0.9546598765304557
B3GALT6,83.35313757069969,0.043970754530910844,0.19356227525321196,0.2271659313437482,0.820294718041159,0.9525211312614785
UBE2J2,724.3186304771846,-0.07019080315905529,0.11423728926828565,-0.6144298731932668,0.5389313003158458,0.8374218277057434
SCNN1D,234.53955722478517,-0.4706573666589475,0.2608062187796803,-1.8046247856403372,0.07113341682522888,0.3861105729148624
ACAP3,1525.3851180889321,0.22823747758370067,0.29868299926924263,0.7641461956057296,0.44478012575178694,0.7820205318283237
PUSL1,45.029942299678396,0.2689370699661736,0.2779647873094089,0.9675220828126466,0.3332831073859398,0.701913682373469
CPTP,96.46264294017955,-0.1298261093716039,0.2651542741755869,-0.48962480342908676,0.6243994216118114,0.8773750066850758
DVL1,422.8631190832024,0.08140502649736221,0.21757859730362086,0.3741407817964984,0.7082995788649853,0.9127317311283835
AURKAIP1,215.5233503041958,0.34574351538747705,0.3728898742436706,0.9272000643319848,0.35382266944818097,0.718171040875622
CCNL2,2119.123791936382,-0.34240945436417924,0.2053277401009787,-1.6676239372029553,0.09539040335517333,0.43142327667751645
MRPL20,569.2396348457421,-0.0016448676360667212,0.2287215983307824,-0.007191571098099254,0.994262005913214,0.9980305979189036
ANKRD65,175.04745816757412,-0.14144383707989033,0.3064884780918205,-0.46149805682912276,0.6444413152044901,0.8854669310355885
VWA1,643.7284433033328,-0.129305108770031,0.45449828944549503,-0.2845007600089939,0.7760266516861923,0.93704302642107
ATAD3C,156.92692295449865,0.9608544940063709,0.44250698956074364,2.171388286906309,0.029901833568535183,0.2864376662806108
ATAD3B,517.4594350399811,-0.02377306005826581,0.12758445331665247,-0.18633195064341684,0.8521844531968557,0.9619001003163146
ATAD3A,301.3075572571102,0.2626874705731064,0.13181652581745534,1.9928265363091593,0.046280444923037796,0.33199189618719893
TMEM240,109.07629513507901,-0.39406490924559007,0.5643033192730661,-0.6983210904256657,0.4849764125445569,0.8071883091702068
SSU72,574.896932036916,0.20904286091000163,0.1711277624481165,1.2215601835697492,0.22187399342085024,0.5990739025002443
MIB2,618.8286038716083,-0.03494181814529173,0.25508809537437965,-0.13697941526439886,0.8910470659648367,0.9727988705340818
MMP23B,16.312040366307826,0.011988215591900728,0.4398136294427578,0.02725748996703388,0.9782543623512211,0.9933046021344868
CDK11B,731.7739927196276,0.21423398367490462,0.24633616774306263,0.8696814017921976,0.3844745387086064,0.7412396490659121
SLC35E2B,735.280401717485,0.23165533795508983,0.24594395064484534,0.9419029715823792,0.3462423186094229,0.7126555971393037
CDK11A,28.438169590526478,-0.1475996478951563,2.0490763902953204,-0.07203228176080038,0.9425762174400608,0.9837796133113925
NADK,521.6911251356605,0.08082143356959608,0.24214106774977034,0.33377829841370527,0.7385468605634229,0.9241932111991454
GNB1,4975.186127333586,0.12142088226381063,0.1367818359257927,0.8876974156837919,0.37470353641583376,0.7334176785715235
CFAP74,253.39028171071692,0.15257916000520436,0.25422067484306615,0.6001839154089004,0.5483836719851651,0.8414175888309303
GABRD,187.2369886540174,1.4907728024680305,0.6387323287997302,2.333955454030966,0.019598054568522438,0.24376427362099137
PRKCZ,1175.510736939331,0.9485204239292212,0.6902260159568472,1.3742171433719512,0.16937428011071176,0.5381072227372181
FAAP20,408.21855595148435,-0.26957678592478673,0.3537895548905893,-0.761969318195825,0.4460783163713612,0.782823997020558
SKI,2332.18251822658,-0.01916870781752916,0.27195676690750026,-0.07048439366117684,0.9438081217088333,0.9842560618416298
MORN1,354.1366212721262,-0.059788854814843216,0.30460153714925314,-0.19628546649633943,0.8443867361836025,0.9594286136205803
RER1,634.2893296006354,-0.20863336718453013,0.11536228693629827,-1.8085058187146992,0.07052781202652217,0.3845910328996553
PEX10,172.0797935094472,-0.3231750120736588,0.21312720029426824,-1.5163480382956551,0.12943137066177815,0.4858110382870395
PLCH2,241.18818707376317,1.0778189487763454,0.6483639645388377,1.662367139023475,0.09643918352648188,0.43322195178025674
PANK4,160.10585856933852,0.07455526835649258,0.20929197332047453,0.3562261235997387,0.7216712296493468,0.9185313691556447
TNFRSF14,179.62359992669843,-0.13398613041178414,0.43653715233602547,-0.30692950117713697,0.7588970334619954,0.9312380093516126
TTC34,147.23270421936542,-0.6105461068643863,0.3798243993971683,-1.60744309168501,0.10795720366550184,0.4533003127305139
LINC00982,1197.6537516182007,-1.0019303031089688,0.8456386893721467,-1.1848207936806467,0.2360883093159819,0.6162763376090095
