gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SAMD11,71.94795141813987,0.08023808295146398,0.48279022868308774,0.16619657603744445,0.868002253903079,0.8923979213883169
NOC2L,354.17461477065007,0.8634682881909146,0.21125456118574698,4.087335598078303,4.363556855885652e-05,0.00022270141724996096
KLHL17,85.51922344435225,0.9300188320967273,0.2543124979580987,3.6569922420799,0.00025519210092774506,0.0008917451751052567
HES4,264.2802582654696,1.9178310698850562,0.38508175860374366,4.980321781116982,6.347863667736372e-07,7.799573745909699e-06
ISG15,92.4642544639846,1.4658444510240989,0.3261544698439101,4.494325807417625,6.979070534127314e-06,5.2775235456045485e-05
AGRN,379.4539556680075,4.825758537603466,0.5541908018477262,8.707756464946579,3.0994834864783874e-18,1.1503057431612354e-15
C1orf159,659.7194112762807,-0.19213155267643212,0.13198661560377395,-1.455689668210103,0.14547842729546764,0.19156247786340963
TTLL10,9.899230650584922,1.6831842836153232,0.3885548081870414,4.33190954827942,1.478216725779603e-05,9.555786978252073e-05
SDF4,493.5497828725693,0.7287735258647793,0.18968317075718172,3.842056851726192,0.00012200756578950287,0.0004947989653228536
B3GALT6,88.88199814687702,1.1402468901576366,0.27436025013811016,4.156020741283213,3.2383843802032923e-05,0.00017555196823618898
UBE2J2,472.73699997891305,0.1466001515355527,0.09547872954069965,1.5354221012446712,0.1246801782937314,0.1673579616640516
SCNN1D,238.9740354297388,1.2122007201481289,0.3304454250379811,3.668384030460702,0.00024408836475840105,0.0008604322921366529
ACAP3,1750.6327201133824,1.0921941687190373,0.3581376650198889,3.049648990866077,0.0022910896167328957,0.005429147202454475
PUSL1,43.78107568172405,0.9105197934251598,0.23254542615351834,3.915449159701238,9.023605881291327e-05,0.00039233304753923305
CPTP,119.7720504041393,1.4249703147286208,0.3184628573999115,4.474525934869719,7.658103137009175e-06,5.663944037050118e-05
DVL1,329.79610031838234,0.6870098112515852,0.21116240446049353,3.2534665107969922,0.0011400616249519911,0.003046197518839786
AURKAIP1,222.6368064898474,1.0809474339969751,0.2615108232937003,4.13347111367155,3.5732522418944926e-05,0.00019028422718609598
CCNL2,1056.1349283020795,-0.03939706691126261,0.12090892192541841,-0.32584085842370125,0.7445447637104263,0.7863078300675467
MRPL20,333.84317221007376,0.11612163191368728,0.09432332663041056,1.2311019560271614,0.2182847340677977,0.273593110573026
ANKRD65,129.40490430538833,0.21252346588880774,0.290912903586103,0.7305398394812215,0.46506027014394513,0.5285655555605387
VWA1,459.07607693605235,-0.1088344177021554,0.3335477779641874,-0.32629333754350726,0.7442024285078529,0.786152181776373
ATAD3C,121.35329953638121,-0.6145190779857046,0.3530381061186076,-1.740659343383315,0.08174330883629341,0.11585905328011269
ATAD3B,408.56527827615463,0.675954853633977,0.21928633613129075,3.082521535811837,0.0020525487808410905,0.0049588701475369625
ATAD3A,259.52519893468207,0.7984115439024457,0.2174295143196593,3.672047681294277,0.00024061477409589513,0.0008500508274991423
TMEM240,63.6868394165335,0.5384684424939663,0.2947970439617714,1.82657341219403,0.0677639340202168,0.09822812815212993
SSU72,534.3208163840425,0.7681258367760698,0.18547392594530523,4.141422212643431,3.451589320684457e-05,0.00018516791633649678
MIB2,590.2842210708039,1.146860698043373,0.28783380818766796,3.9844544505196513,6.763532837746079e-05,0.0003130963098637619
MMP23B,203.60338487736237,5.1469832650427305,0.5866245284767221,8.773897127022313,1.7258690974671166e-18,6.938952587983068e-16
CDK11B,523.9408539305887,0.3103159344932909,0.18042452072314372,1.7199210686526465,0.0854467902200415,0.12040078287041282
SLC35E2B,346.7172630452022,-0.346279484727547,0.1542847089590863,-2.244418692324036,0.024805474943552234,0.041078890148597565
CDK11A,152.81460255055342,4.081453086803232,0.7417512483323285,5.502455298834373,3.745382075025294e-08,7.436304547862291e-07
NADK,311.42233889980525,-0.2934700410281691,0.14565520383840364,-2.0148270250183287,0.04392277634449829,0.06733802190554689
GNB1,2615.670577520445,-0.45607487234313265,0.09854831221477874,-4.627931844729631,3.6933551387588206e-06,3.202238407620247e-05
CFAP74,201.27932948815015,0.5435892403670564,0.22255502074104772,2.442493719337591,0.0145861834147684,0.02605138434666311
GABRD,384.9779576345164,2.9746389662064394,0.5428178035240568,5.479995215511771,4.2533733767785405e-08,8.285777423350281e-07
PRKCZ,821.6810818890536,0.6076298842268624,0.4215264656614862,1.4414987758202342,0.1494438229298048,0.196212798719702
FAAP20,304.07899874754935,0.49232112699120767,0.18557525362496327,2.6529460010123973,0.00797926348282253,0.015529361254588316
SKI,1151.317454879457,-0.4094452044545026,0.19657626720967483,-2.0828821824039148,0.03726196409002992,0.058343754677530626
MORN1,234.45862967121514,0.4396415306900374,0.19694607708220518,2.2322939212774027,0.02559554337690493,0.042165933853553605
RER1,451.6772118840505,0.29876110531353967,0.13597706007538138,2.1971434383705306,0.028010203643252327,0.04563995131514513
PEX10,128.48024973278808,0.5020134214915447,0.15748338755586683,3.187723030871791,0.0014339782086997578,0.003677427461502533
PLCH2,303.1332863463938,0.8552173488403801,0.4954530835705311,1.7261318522374969,0.08432369463364185,0.11898042075719752
PANK4,118.77841759201499,0.9595503898248989,0.17903789745708426,5.359482006064694,8.346090594145827e-08,1.4731867714593501e-06
TNFRSF14,141.47313269381317,0.7700609308047089,0.24488046069891176,3.1446401587406485,0.0016629123330691976,0.004158430046448439
TTC34,73.44603606707089,-0.23762787766913274,0.27337720169096846,-0.8692307778384257,0.38472091620195104,0.4476966185164045
