gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SAMD11,103.2419009302051,0.033066982942869,0.6862674267494114,0.04818381530869789,0.9615697487176732,0.998537503288866
NOC2L,331.3574689636266,0.02420855077833141,0.13593910106919713,0.17808379331571805,0.8586571696475381,0.998537503288866
KLHL17,81.49148907423732,0.2458521135955228,0.30384584945552573,0.8091343489999144,0.41843787249365183,0.998537503288866
HES4,207.8321327852811,1.5201330367989525,0.5217786754901987,2.9133675027459174,0.003575535352234893,0.3376293349383383
ISG15,89.49898083579089,1.36965159239119,0.4186758976764792,3.2713886803427896,0.001070207122377941,0.21151850901678504
AGRN,30.51164172189144,0.4229064549785381,0.3157172535834498,1.3395101160246101,0.18040466344204276,0.9003623485541324
C1orf159,1018.5860922304872,-0.2626927960386061,0.19718445742980933,-1.3322185706858534,0.18278837587355723,0.9003623485541324
TTLL10,6.231455591283213,0.584865877114879,0.40131500563425404,1.457373556691542,0.14501329234431973,0.8580674021203584
SDF4,522.0525930530633,0.22310171925430644,0.20169917736705617,1.1061112006832903,0.26867839129980886,0.9613829156240467
B3GALT6,70.74353833252417,0.08770933743274632,0.2087392241000102,0.42018618115933704,0.6743494489591705,0.998537503288866
UBE2J2,654.2510187908578,0.053657107348899856,0.10767463439389979,0.4983263481778746,0.6182540396772499,0.998537503288866
SCNN1D,203.97394974900604,0.49966379224305324,0.37517457754102285,1.331816765192248,0.18292040746769667,0.9003623485541324
ACAP3,1370.9231869049738,-0.21320699386504022,0.5061961974595754,-0.4211943806276159,0.67361314739368,0.998537503288866
PUSL1,38.261895022025705,-0.15351781566983247,0.26648204650367513,-0.5760906510739937,0.5645539102453396,0.998537503288866
CPTP,83.80074973468083,0.22020845790599208,0.30662988513085043,0.718157194012648,0.4726603682593382,0.998537503288866
DVL1,346.9255307803528,0.11527920256678312,0.25090414661747085,0.45945515098456347,0.645907351537429,0.998537503288866
AURKAIP1,177.7570776067754,-0.14842545461003773,0.3234358564133805,-0.45890228824950213,0.6463043354832158,0.998537503288866
CCNL2,1786.4556886632015,0.4475179992154096,0.17122180490782649,2.613674113856708,0.008957443000526406,0.4576004226383316
MRPL20,482.9299857001286,0.11749922672447115,0.12220860339787215,0.9614644424168012,0.3363186957473975,0.9907603991438695
ANKRD65,171.0117016566121,-0.04533137369206125,0.4395004865002321,-0.10314294314674737,0.9178495230478678,0.998537503288866
VWA1,684.0284823241752,-0.23486839109977511,0.5921371112747104,-0.3966452813507454,0.6916290561222207,0.998537503288866
ATAD3C,192.0247752322636,-1.434366086692085,0.6547961410261774,-2.1905536652127915,0.028484107286646774,0.6252077245335425
ATAD3B,437.61263313310224,0.14967567697277617,0.1742591431825661,0.8589258172580674,0.39038144470623115,0.998537503288866
ATAD3A,246.44744888630885,-0.05481610973730347,0.17723799245063407,-0.3092796808368914,0.75710878613051,0.998537503288866
TMEM240,85.53847362597385,0.6862260464693107,0.4585040327847262,1.496663055069579,0.13448095401673524,0.8462287410905522
SSU72,507.89195020000847,-0.15528496682528256,0.08786029980654589,-1.7674076592863313,0.07715998114867527,0.7541039115676872
MIB2,497.0213121407989,0.2687032257034559,0.3080373366215404,0.8723073269315693,0.3830407415873943,0.998537503288866
MMP23B,12.704469430309507,0.33968146368519636,0.5069094548092141,0.6701028368331431,0.5027922366132529,0.998537503288866
CDK11B,643.2108905231371,-0.15204752149331982,0.3132595791117639,-0.48537229707211194,0.627412279807412,0.998537503288866
SLC35E2B,606.4047671294682,-0.0398640156663018,0.19467265783854834,-0.20477460013600365,0.8377482326372221,0.998537503288866
CDK11A,21.151565801883407,0.5701074973898179,1.2666087816146445,0.45010543560503163,0.6526344176226537,0.998537503288866
NADK,508.8867198466543,-0.24367429377127026,0.2495112823321387,-0.9766063141261143,0.32876409196586276,0.9867497220248734
GNB1,4643.736193274431,-0.19297574563850234,0.13964056093184912,-1.3819462221487577,0.1669882140655311,0.8844397780791774
CFAP74,221.28036344383773,-0.08106998365835455,0.35103387300033834,-0.2309463271035283,0.8173564995847767,0.998537503288866
GABRD,92.13289972093227,-0.3188460211769725,0.7188509501286,-0.44354955797155454,0.6573682817254061,0.998537503288866
PRKCZ,824.8226535205343,-0.4233898394762864,0.791163539892034,-0.5351483203258636,0.5925472990513786,0.998537503288866
FAAP20,367.62020185000387,0.23451365282923342,0.3075106078316216,0.7626197173583101,0.4456902220351654,0.998537503288866
SKI,2088.7846227218365,0.01639274990895777,0.2031159396312453,0.08070636868144677,0.9356754718663686,0.998537503288866
MORN1,291.38092726723363,0.2292582867733833,0.25353072169112983,0.9042623522867692,0.3658563045659169,0.9934789356008832
RER1,587.5779122299457,0.11885330421891835,0.17019303166818317,0.6983441275706322,0.48496200888453156,0.998537503288866
PEX10,155.61230111715685,0.2729594589382553,0.1865283764885977,1.4633669368528548,0.14336700070451583,0.857076348582172
PLCH2,235.2825347215836,-1.1514119308358597,0.8149280646788868,-1.4129000837510248,0.15768510447942674,0.8732164450752293
PANK4,115.73416182164144,0.4066714445522823,0.19512082311923185,2.084203203180313,0.03714168751940282,0.6596441107263519
TNFRSF14,147.70373480202218,0.3053018411868644,0.3788742144080824,0.8058131949249683,0.4203505687070227,0.998537503288866
TTC34,137.08273588520493,0.44734130897471286,0.35201992401590815,1.2707840620819433,0.20380548025057188,0.9232606276847941
LINC00982,1110.1226054613917,0.7834675541439684,0.7059158911385133,1.109859636224336,0.26705951623960744,0.9598965891078519
PRDM16,4545.584277716236,-0.009101537183006353,0.6022417733527523,-0.015112762989417028,0.9879422187321266,0.9993505775147175
