"marker","count"
"ATP1A3","1"
"BCL11B","1"
"CAMK2A","1"
"CNKSR2","1"
"ELP4","1"
"IGFBPL1","1"
"KCNQ3","1"
"NCAM1","1"
"NEUROD1","1"
"NEUROD2","1"
"NRGN","3"
"PHF21A","1"
"RANBP17","1"
"RBFOX1","1"
"SLC17A7","5"
"STMN2","1"
"SYT1","1"
"Tbr1","1"
"TBR2","1"
