"marker","count"
"APOD","1"
"CSPG4","1"
"DSCAM","1"
"LHFPL3","1"
"MEGF11","2"
"OLIG1","2"
"OLIG2","2"
"PCDH15","3"
"PDGFR a","1"
"PDGFRA","6"
"PMP2","1"
"SOX10","4"
"SOX6","1"
"VCAN","2"
