"marker","count"
"CD16","2"
"CD224","1"
"CD56","1"
"DOCK2","1"
"GNLY","2"
"GZMB","1"
"ICAM1","1"
"KIR2DL1","1"
"KIR2DL3","1"
"KIR2DS4","1"
"MXRA8","1"
"NK1.1","1"
"NKp30","1"
"SAMD3","1"
