"marker","count"
"NIACR1","1"
"NIN","1"
"NLRP1","1"
"NPC2","1"
"NRP1","1"
"OLFML3","4"
"P2RY12","27"
"P2RY13","2"
"P2Y12","1"
"PABPC1","1"
"PAX6","1"
"PDCD1","1"
"PDCD6IPP2","1"
"PDGFRA","1"
"PEA15A","1"
"PEBP1","1"
"PERP","1"
"PGAM1","1"
"PGK1","1"
"PILRA","1"
"PKM2","1"
"PLAUR","1"
"PLBD2","1"
"PLD3","1"
"PLEKHH2","1"
"PLIN2","1"
"PLXNC1","1"
"PRDX1","1"
"PSAT1","1"
"PSTPIP1","1"
"PTCHD1","1"
"PTPRC","5"
"PTPRG","1"
"PTPRZ1","1"
"PTTG1","1"
"PU.1","1"
"RAMP1","1"
"RFTN1","1"
"RFX2","1"
"RHOB","2"
"RIMS2","1"
"RPL10A","1"
"RPL10A-PS1","1"
"RPL11","1"
"RPL12","1"
"RPL13","1"
"RPL13A","1"
"RPL14","1"
"RPL14-PS1","1"
"RPL18-PS1","1"
"RPL18A","1"
"RPL22","1"
"RPL23","1"
"RPL27A","1"
"RPL3","1"
"RPL32","1"
"RPL35","1"
"RPL35A","1"
"RPL36A-PS1","1"
"RPL37","1"
"RPL37A","1"
"RPL38","1"
"RPL38-PS2","1"
"RPL39","1"
"RPL5","1"
"RPL5-PS1","1"
"RPL6","1"
"RPL7","1"
"RPL9-PS6","1"
"RPLP0","1"
"RPLP1","1"
"RPLP2","1"
"RPLP2-PS1","1"
"RPS10","1"
"RPS10-PS1","1"
"RPS12","1"
"RPS13-PS1","1"
"RPS14","1"
"RPS15","1"
"RPS15A","1"
"RPS16","1"
"RPS18","1"
"RPS19","1"
"RPS19-PS11","1"
"RPS19-PS3","1"
"RPS19-PS7","1"
"RPS2","1"
"RPS20","1"
"RPS21","1"
"RPS24","1"
"RPS24-PS2","1"
"RPS24-PS3","1"
"RPS25","1"
"RPS26","1"
"RPS27A","1"
"RPS28","1"
"RPS3","1"
"RPS3A","1"
"RPS4X","1"
"RPS5","1"
"RPS9","1"
"RPSA","1"
"RPSA-PS10","1"
"RPSA-PS4","1"
"RUNX3","1"
"S100A4","1"
"SALL1","9"
"SCD2","1"
"SCPEP1","1"
"SDF2L1","1"
"SDF4","1"
"SECTM1","1"
"SELENBP1","1"
"SERPINE2","1"
"SERPINF1","1"
"SH3PXD2B","1"
"SIGLEC8","3"
"Siglech","1"
"SLAMF9","1"
"SLC11A1","1"
"SLC1A3","2"
"SLC2A5","4"
"SLC38A7","1"
"SMAD7","1"
"SMIM3","1"
"SORL1","1"
"SOX2","1"
"Sparc","1"
"SPP1","1"
"SPRY1","3"
"SRGAP28","1"
"SSR4","1"
"ST14","1"
"STAB1","1"
"STEAP3","1"
"SULF2","1"
"SYNGR1","1"
"TAL1","2"
"TCAP","1"
"TCF7L2","1"
"TGFBI","1"
"TIE2","1"
"TIMP2","1"
"TLN2","1"
"TLR2","2"
"TM9SF1","1"
"TMED3","1"
"TMEM119","27"
"TMEM163","1"
"TMEM19","1"
"TMEM90A","1"
"TNF","1"
"TNFRSF21","1"
"TNFSF8","1"
"TOX2","1"
"TPD52","1"
"TPI1","1"
"TPT1","1"
"TREM2","3"
"TSHZ3","1"
"TSPO","3"
"TTYH1","1"
"TTYH3","1"
"TUBA1A","1"
"TYROBP","1"
"ULK3","1"
"USP12","1"
"VAT1","1"
"VCAN","1"
"VENTX","1"
"VPS13C","1"
"XBP1","1"
"ZBTB8B","1"
"ZFP618","1"
"ZNF532","1"
"ZNF662","1"
"ZNF696","1"
"ZNF703","1"
"ZNF843","1"
